date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201107,AK,19306.0,,728589.0,,totalTestsViral,747288.0,105.0,,,,8.0,,7157.0,A,11/7/2020 03:59,2020-11-07T03:59:00Z,11/06 22:59,84.0,,2020-11-07T03:59:00Z,747288.0,21064.0,725850.0,19306.0,84.0,,,,,,,,,,,,,,02,607,-34013,747895,-34013,747895,0,0,f2176e93601204643e0618a661e7c3603f44f432,0,0,0,0,0,
20201107,AL,202482.0,30709.0,1224595.0,,totalTestsViral,1396368.0,1015.0,21294.0,,2121.0,,1225.0,84471.0,A,11/7/2020 11:00,2020-11-07T11:00:00Z,11/07 06:00,3082.0,21294.0,2020-11-07T11:00:00Z,1396368.0,,,171773.0,2864.0,218.0,,,,,,66104.0,,,,,,,01,1768,7593,1427077,8920,1427077,33,0,4c80b4082d47d6d01b881c81b3397bb4f036f9ce,0,0,0,0,0,
20201107,AR,120828.0,10812.0,1308477.0,,totalTestsViral,1418493.0,633.0,7415.0,235.0,,105.0,865.0,106594.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,2068.0,7415.0,2020-11-07T24:00:00Z,1418493.0,,1308477.0,110016.0,1890.0,178.0,,,,,,,,,76277.0,12392.0,21856.0,3300.0,05,1598,10213,1429305,11491,1429305,12,14,30d303737381a25b77c99cf23ce2a52f4b84dd0b,0,0,0,0,0,
20201107,AS,0.0,,1768.0,,totalTestsViral,1768.0,,,,,,,,D,11/1/2020 00:00,2020-11-01T24:00:00Z,10/31 20:00,0.0,,2020-11-01T24:00:00Z,1768.0,,,0.0,,,,,,,,,,,,,,,60,0,0,1768,0,1768,0,0,7cf6742686782861fc227cdfdf907974b32a1cc4,0,0,0,0,0,
20201107,AZ,257384.0,6590.0,1608041.0,,totalTestsPeopleViral,1858835.0,1139.0,22170.0,249.0,,137.0,,42950.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,6147.0,22170.0,2020-11-07T24:00:00Z,,,,250794.0,5730.0,417.0,,1858835.0,324293.0,,,,,,,,,,04,2620,14060,1865425,16524,1865425,38,152,376dee695ec8a1ac1713c092686ce48674568ba6,0,0,0,0,0,
20201107,CA,956957.0,,18608194.0,,totalTestsViral,19565151.0,3456.0,,901.0,,,,,B,11/7/2020 02:59,2020-11-07T02:59:00Z,11/06 21:59,17939.0,,2020-11-07T02:59:00Z,19565151.0,,,956957.0,,,,,,,,,,,,,,,06,5863,162939,19565151,168802,19565151,73,0,9a68b77e9f566954ef6fd8f645020afed689795f,0,0,0,0,0,
20201107,CO,124469.0,7501.0,1186377.0,,totalTestEncountersViral,2177091.0,1041.0,9911.0,,,,,8478.0,A,11/6/2020 01:59,2020-11-06T01:59:00Z,11/05 20:59,2168.0,9911.0,2020-11-06T01:59:00Z,,,,116968.0,,,2177091.0,1303345.0,187631.0,14007.0,173624.0,,,,,,,,08,3463,12903,1310846,35158,1310846,10,197,67717002ac0c8e98b0ed23208630c6b59590484d,0,0,0,0,0,
20201107,CT,78125.0,4919.0,2356349.0,,posNeg,2434474.0,402.0,12257.0,,,,,9800.0,B,11/5/2020 20:30,2020-11-05T20:30:00Z,11/05 15:30,4671.0,12257.0,2020-11-05T20:30:00Z,2428610.0,,,73206.0,3757.0,914.0,,,,,,,,,,,26512.0,,09,0,0,2434474,0,2434474,0,0,c74c0d1447c682a015bc17e3c69f441f7aa16d9c,0,0,0,0,0,
20201107,DC,17891.0,,532694.0,,totalTestEncountersViral,550585.0,77.0,,25.0,,14.0,,13811.0,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,654.0,,2020-11-06T24:00:00Z,,,,,,,550585.0,265472.0,,,,,,,,,,,11,99,4163,550585,4262,550585,2,0,0ea2b705e1bfd9ba58fec77c5e4a9bf53c22e610,0,0,0,0,0,
20201107,DE,26258.0,1201.0,336673.0,,totalTestEncountersViral,582281.0,115.0,,26.0,,,,13888.0,A+,11/6/2020 18:00,2020-11-06T18:00:00Z,11/06 13:00,716.0,,2020-11-06T18:00:00Z,,27896.0,,25057.0,629.0,87.0,582281.0,362931.0,,,,,,,,,,,10,223,1827,362931,5159,362931,0,0,4eac7962aaa1dcc8063494ba2eff6fbb3e175db9,0,0,0,0,0,
